"trinomial","opencontext_uri","opencontext_mirror_url","tdar_metadata_uri","state_source","link_identified"
"8HG930","http://opencontext.org/subjects/0EC521CA-94E9-4420-64F6-184B5A84E770","http://opencontext.dainst.org/subjects/0EC521CA-94E9-4420-64F6-184B5A84E770","http://core.tdar.org/browse/site-name/6897/8hg930","Florida Site Files","2015-02-09 12:04:35.348577"
"8HG931","http://opencontext.org/subjects/0DFE95D4-4C25-4215-B12E-070FC1281C3B","http://opencontext.dainst.org/subjects/0DFE95D4-4C25-4215-B12E-070FC1281C3B","http://core.tdar.org/browse/site-name/6890/8hg931","Florida Site Files","2015-02-09 12:04:36.721655"
"8HG932","http://opencontext.org/subjects/B6976DAF-F3CB-4841-9B94-FE7190212D64","http://opencontext.dainst.org/subjects/B6976DAF-F3CB-4841-9B94-FE7190212D64","http://core.tdar.org/browse/site-name/6899/8hg932","Florida Site Files","2015-02-09 12:04:38.086734"
"8HG933","http://opencontext.org/subjects/6CB2CB27-61BF-4F75-6144-84FFFAD08662","http://opencontext.dainst.org/subjects/6CB2CB27-61BF-4F75-6144-84FFFAD08662","http://core.tdar.org/browse/site-name/6901/8hg933","Florida Site Files","2015-02-09 12:04:39.456812"
"8HG934","http://opencontext.org/subjects/D4948320-7260-4A32-6769-5DC56EA948EC","http://opencontext.dainst.org/subjects/D4948320-7260-4A32-6769-5DC56EA948EC","http://core.tdar.org/browse/site-name/6903/8hg934","Florida Site Files","2015-02-09 12:04:40.82889"
"8HG935","http://opencontext.org/subjects/442D08BC-E997-4D52-43A0-725AF7D32271","http://opencontext.dainst.org/subjects/442D08BC-E997-4D52-43A0-725AF7D32271","http://core.tdar.org/browse/site-name/6905/8hg935","Florida Site Files","2015-02-09 12:04:42.201969"
"8HG936","http://opencontext.org/subjects/035A90ED-B2A4-475B-7EF9-67E570012053","http://opencontext.dainst.org/subjects/035A90ED-B2A4-475B-7EF9-67E570012053","http://core.tdar.org/browse/site-name/6907/8hg936","Florida Site Files","2015-02-09 12:04:43.571047"
"8HG937","http://opencontext.org/subjects/AC28B7BE-C5F5-435B-D65E-187A9A41C027","http://opencontext.dainst.org/subjects/AC28B7BE-C5F5-435B-D65E-187A9A41C027","http://core.tdar.org/browse/site-name/6638/8hg937","Florida Site Files","2015-02-09 12:04:44.981128"
"8HG938","http://opencontext.org/subjects/47AFB53D-BD70-4DDE-4D9A-2C87DE0E4957","http://opencontext.dainst.org/subjects/47AFB53D-BD70-4DDE-4D9A-2C87DE0E4957","http://core.tdar.org/browse/site-name/6640/8hg938","Florida Site Files","2015-02-09 12:04:46.324205"
"8HG939","http://opencontext.org/subjects/65FC5C6A-A5E7-4F98-E560-4B6681F71195","http://opencontext.dainst.org/subjects/65FC5C6A-A5E7-4F98-E560-4B6681F71195","http://core.tdar.org/browse/site-name/6909/8hg939","Florida Site Files","2015-02-09 12:04:47.679282"
"8HG940","http://opencontext.org/subjects/A2EF4173-C0C7-4569-415A-060DABC94D85","http://opencontext.dainst.org/subjects/A2EF4173-C0C7-4569-415A-060DABC94D85","http://core.tdar.org/browse/site-name/6911/8hg940","Florida Site Files","2015-02-09 12:04:49.022359"
"8HG941","http://opencontext.org/subjects/E76D0F81-5B83-44E8-E45F-CA8E30F4E520","http://opencontext.dainst.org/subjects/E76D0F81-5B83-44E8-E45F-CA8E30F4E520","http://core.tdar.org/browse/site-name/6642/8hg941","Florida Site Files","2015-02-09 12:04:50.389437"
"8HG942","http://opencontext.org/subjects/9AACD5A5-A90A-4BAF-CF62-24352A1C33ED","http://opencontext.dainst.org/subjects/9AACD5A5-A90A-4BAF-CF62-24352A1C33ED","http://core.tdar.org/browse/site-name/6913/8hg942","Florida Site Files","2015-02-09 12:04:51.761516"
"8HI5656","http://opencontext.org/subjects/8681BE95-A662-47B5-3756-B3C3B768DCD6","http://opencontext.dainst.org/subjects/8681BE95-A662-47B5-3756-B3C3B768DCD6","http://core.tdar.org/browse/site-name/3329/8hi5656","Florida Site Files","2015-02-09 12:20:36.431548"
"8OB227","http://opencontext.org/subjects/F42D82B5-7D55-43E8-BFE2-5437D87F9DF7","http://opencontext.dainst.org/subjects/F42D82B5-7D55-43E8-BFE2-5437D87F9DF7","http://core.tdar.org/browse/site-name/6518/8ob227","Florida Site Files","2015-02-09 17:41:43.931586"
"8OB237","http://opencontext.org/subjects/89817D2A-A43C-48B5-DEE0-A0AB482B46D1","http://opencontext.dainst.org/subjects/89817D2A-A43C-48B5-DEE0-A0AB482B46D1","http://core.tdar.org/browse/site-name/7670/8ob237","Florida Site Files","2015-02-09 17:41:45.291663"
"8OB238","http://opencontext.org/subjects/03B0BE49-3D9B-4219-A007-2090FD91CB61","http://opencontext.dainst.org/subjects/03B0BE49-3D9B-4219-A007-2090FD91CB61","http://core.tdar.org/browse/site-name/7672/8ob238","Florida Site Files","2015-02-09 17:41:46.717745"
"8OB239","http://opencontext.org/subjects/04A417DE-5FEF-46DB-792B-8B0FA1DF75E9","http://opencontext.dainst.org/subjects/04A417DE-5FEF-46DB-792B-8B0FA1DF75E9","http://core.tdar.org/browse/site-name/7674/8ob239","Florida Site Files","2015-02-09 17:41:48.03582"
"8OB240","http://opencontext.org/subjects/629CAA70-BC57-41EA-5C8D-0E18629637B5","http://opencontext.dainst.org/subjects/629CAA70-BC57-41EA-5C8D-0E18629637B5","http://core.tdar.org/browse/site-name/7676/8ob240","Florida Site Files","2015-02-09 17:41:49.448901"
"8OB241","http://opencontext.org/subjects/A993F6D0-399A-48C6-B36E-13DE5BBAB274","http://opencontext.dainst.org/subjects/A993F6D0-399A-48C6-B36E-13DE5BBAB274","http://core.tdar.org/browse/site-name/7678/8ob241","Florida Site Files","2015-02-09 17:41:50.83098"
"8OB245","http://opencontext.org/subjects/578AC756-043B-4303-F33E-41BDE8A34298","http://opencontext.dainst.org/subjects/578AC756-043B-4303-F33E-41BDE8A34298","http://core.tdar.org/browse/site-name/7684/8ob245","Florida Site Files","2015-02-09 17:41:52.213059"
"8OB246","http://opencontext.org/subjects/0226AF62-30B3-41C4-F315-F9B3D9206734","http://opencontext.dainst.org/subjects/0226AF62-30B3-41C4-F315-F9B3D9206734","http://core.tdar.org/browse/site-name/7686/8ob246","Florida Site Files","2015-02-09 17:41:53.595138"
"8OB247","http://opencontext.org/subjects/3753B8D8-97F5-4819-D627-73B6EA02BB3F","http://opencontext.dainst.org/subjects/3753B8D8-97F5-4819-D627-73B6EA02BB3F","http://core.tdar.org/browse/site-name/7688/8ob247","Florida Site Files","2015-02-09 17:41:54.951216"
"8OB248","http://opencontext.org/subjects/5AD35B2F-2064-45A3-0837-BCB4ACBCCD9A","http://opencontext.dainst.org/subjects/5AD35B2F-2064-45A3-0837-BCB4ACBCCD9A","http://core.tdar.org/browse/site-name/7692/8ob248","Florida Site Files","2015-02-09 17:41:56.309294"
"8OB249","http://opencontext.org/subjects/0E577500-0FEB-44D6-A797-72D1C9B86092","http://opencontext.dainst.org/subjects/0E577500-0FEB-44D6-A797-72D1C9B86092","http://core.tdar.org/browse/site-name/7690/8ob249","Florida Site Files","2015-02-09 17:41:57.780378"
"8OB57","http://opencontext.org/subjects/B4238EDC-10D8-465A-0183-18CD69B10B08","http://opencontext.dainst.org/subjects/B4238EDC-10D8-465A-0183-18CD69B10B08","http://core.tdar.org/browse/site-name/7662/8ob57","Florida Site Files","2015-02-09 17:41:30.965844"
"8OB58","http://opencontext.org/subjects/4F752145-43C6-4E7B-E14A-785BC81F10AA","http://opencontext.dainst.org/subjects/4F752145-43C6-4E7B-E14A-785BC81F10AA","http://core.tdar.org/browse/site-name/7664/8ob58","Florida Site Files","2015-02-09 17:41:32.98796"
"8OB59","http://opencontext.org/subjects/FA7C712C-3B85-4DEB-59FC-35D7EC2C5E03","http://opencontext.dainst.org/subjects/FA7C712C-3B85-4DEB-59FC-35D7EC2C5E03","http://core.tdar.org/browse/site-name/7666/8ob59","Florida Site Files","2015-02-09 17:41:35.048078"
"8OB60","http://opencontext.org/subjects/90B50874-572E-4FD3-99DC-1EE40152827B","http://opencontext.dainst.org/subjects/90B50874-572E-4FD3-99DC-1EE40152827B","http://core.tdar.org/browse/site-name/7668/8ob60","Florida Site Files","2015-02-09 17:41:37.163199"
"8PO1000","http://opencontext.org/subjects/BA3705EA-9F7D-4FB9-28B3-A905B7A5424F","http://opencontext.dainst.org/subjects/BA3705EA-9F7D-4FB9-28B3-A905B7A5424F","http://core.tdar.org/browse/site-name/3323/8po1000","Florida Site Files","2015-02-09 18:54:08.109058"
"8PO1001","http://opencontext.org/subjects/03272DDC-D174-4EA7-D314-587621771BCB","http://opencontext.dainst.org/subjects/03272DDC-D174-4EA7-D314-587621771BCB","http://core.tdar.org/browse/site-name/3324/8po1001","Florida Site Files","2015-02-09 18:54:08.800098"
"8PO1002","http://opencontext.org/subjects/38376126-AFB0-4D89-3825-1AF180EDAEAD","http://opencontext.dainst.org/subjects/38376126-AFB0-4D89-3825-1AF180EDAEAD","http://core.tdar.org/browse/site-name/6490/8po1002","Florida Site Files","2015-02-09 18:54:09.52714"
"8PO1003","http://opencontext.org/subjects/E2142DFF-236A-4735-0911-5F6AF33BAF83","http://opencontext.dainst.org/subjects/E2142DFF-236A-4735-0911-5F6AF33BAF83","http://core.tdar.org/browse/site-name/6492/8po1003","Florida Site Files","2015-02-09 18:54:10.259181"
